avg_monthly_income,income_consistency,avg_monthly_txn_count,txn_consistency,utility_ontime_rate,platform_tenure_months,customer_rating,cancellation_rate,savings_rate,debt_to_income,is_good
8673,0.890732009491316,10.5,0.7716270703184419,0.75,40,4.0,0.169,0.0180272983942806,0.0703372729893341,1
21391,0.771630923297011,11.416666666666666,0.6852837790173708,0.4634146341463415,19,4.0,0.205,0.0023269812267264,0.3993829036254412,1
15454,0.6435224380937762,19.25,0.8383129922339125,0.6136363636363636,38,4.2,0.15,0.0246489656876779,0.0126832109230918,1
2047,0.6507013344958426,21.166666666666668,0.8182142302265324,0.631578947368421,40,3.4,0.167,0.0,0.6521739130434783,0
11057,0.8970576812465645,6.5,0.6955296900759509,0.951219512195122,6,4.1,0.174,0.0529722312674883,0.1807000090440444,1
23437,0.871819807842599,11.0,0.7054208773450972,0.9534883720930232,65,4.1,0.241,0.0,0.9856636941588088,1
16036,0.6401600415106771,16.833333333333332,0.7613471130060604,0.4897959183673469,15,4.4,0.091,0.0,0.8466839200523838,0
9583,0.8447812982905143,98.25,0.8652199895051476,0.6,11,3.8,0.16,0.0,0.847899817375424,1
9881,0.4823281613118024,11.0,0.7054208773450972,0.7027027027027027,16,4.7,0.219,0.00955225441406,0.3588705596599534,0
8733,0.8125099210512585,100.83333333333331,0.8670166010875326,0.7333333333333333,53,4.6,0.144,0.0,0.2496421414257085,1
11780,0.7975430089362574,7.0,0.7979694910895578,0.9148936170212766,52,4.7,0.043,0.0241642234982164,0.0,1
9729,0.8992701767517771,101.91666666666669,0.890265685226143,0.951219512195122,16,3.4,0.182,0.0,0.8005345120008224,1
12496,0.729576800661071,10.083333333333334,0.7802523008213499,0.8260869565217391,61,3.2,0.159,0.0,0.2174295774647887,1
17922,0.7416949088142337,12.083333333333334,0.752972487054175,0.4666666666666667,13,4.5,0.045,0.092098710163038,0.0310791206338578,1
14628,0.6228031394137723,20.33333333333333,0.7655680385889329,0.6153846153846154,59,4.1,0.03,0.0,0.9245966639321848,1
23346,0.5755451950152142,18.75,0.7704755318457714,0.5476190476190477,62,4.7,0.049,0.0,0.3177846312002056,1
9490,0.676743519812339,18.25,0.7351991841571146,0.9534883720930232,29,3.6,0.043,0.0078765660575599,0.1944151738672286,1
20023,0.7063332199360581,17.166666666666668,0.7496350105198519,0.6,19,3.9,0.11,0.0806864359820254,0.3086028218254463,1
19710,0.6942922193710103,5.416666666666667,0.7682073973335483,0.3095238095238095,45,4.5,0.016,0.0,0.7723179177553972,1
21086,0.7265918874005957,95.41666666666669,0.8216564803131812,0.7755102040816326,42,5.0,0.113,0.0,0.5210092004173386,1
11023,0.8753861056079836,6.416666666666667,0.8043309198270212,0.7948717948717948,26,4.5,0.279,0.0,0.7595373100476298,1
2350,0.7515659923627166,11.333333333333334,0.6915268093617202,0.5641025641025641,1,3.5,0.133,0.0195651423284795,0.1114893617021276,1
14797,0.6150408479190514,10.916666666666666,0.7396733907636651,0.6818181818181818,11,3.5,0.086,0.0069865296394418,0.3230384537406231,0
4402,0.8050570803487342,11.416666666666666,0.7196662135814377,0.5555555555555556,52,3.9,0.183,0.0577959162944073,0.0611085870059064,1
9781,0.821459428357902,7.166666666666667,0.7594399899351488,0.5,63,4.0,0.259,0.0,1.2310209089514852,0
2038,0.8406672642182764,10.166666666666666,0.6345328391867548,0.9545454545454546,20,4.2,0.115,0.0230156570095211,0.0721295387634936,1
28585,0.7010810369300551,6.416666666666667,0.7341624741498868,0.6976744186046512,35,4.5,0.185,0.0,0.3137364655670031,1
7744,0.6506515680626686,16.666666666666668,0.6186864807012477,0.4888888888888889,65,3.7,0.061,0.0017013437894515,0.3660898760330578,0
16453,0.7690998698663774,9.25,0.7274867844638888,0.902439024390244,72,3.6,0.073,0.0,0.9988755508281416,1
21906,0.7305712739060441,6.166666666666667,0.782101141937877,0.55,15,4.0,0.0,0.0549191296630316,0.0,1
7107,0.7757994330639254,6.5,0.7608364345361842,0.7894736842105263,1,3.1,0.062,0.0019532244108515,0.3868289594033631,0
20858,0.7313659431474999,10.083333333333334,0.5941988860432754,0.5384615384615384,40,3.6,0.136,0.0043563589089727,0.6014143593431619,0
19506,0.7078557374504206,18.58333333333333,0.7500427352579052,0.7209302325581395,13,4.0,0.116,0.0,0.6969316346671451,1
22350,0.6015166158021419,15.916666666666666,0.7520402044771808,0.4418604651162791,24,3.5,0.117,0.0,0.4873039665316897,0
23011,0.6138405702857519,20.33333333333333,0.7434020353688766,0.6818181818181818,1,4.0,0.287,0.0929365149133476,0.0,1
25208,0.6630688538662811,19.5,0.7474651845693306,0.6444444444444445,24,4.5,0.226,0.0091835280460971,0.4892988197956957,0
14995,0.7516015258118964,6.166666666666667,0.7537720654285325,0.6923076923076923,1,3.8,0.0,0.0,0.5675891963987996,0
35042,0.7837400631363344,93.75,0.8310573185082301,1.0,32,3.9,0.049,0.0,0.6082130015410079,1
14775,0.7372768942070209,6.5,0.7448750161265076,0.7843137254901961,89,4.5,0.021,0.0,0.6586802030456853,1
19975,0.7247310842258466,93.5,0.8427831738943163,0.7209302325581395,41,3.9,0.277,0.0,0.746601917444742,1
1970,0.7597303973144739,6.75,0.7425104492022937,0.5777777777777777,3,4.4,0.049,0.0,0.6768215283066769,1
5549,0.7843976964484352,8.5,0.668981509487566,0.6136363636363636,47,4.1,0.154,0.0,0.5224835541137244,1
18513,0.7532111786959441,10.416666666666666,0.6663894486081113,0.975,32,3.9,0.253,0.0,0.6506238859180036,1
30467,0.688610384558342,12.75,0.6926714262612093,0.6744186046511628,1,3.5,0.153,0.0052614961059044,0.1702826008468178,1
8816,0.6315492228613881,10.166666666666666,0.6048534166165918,0.9523809523809524,63,3.7,0.035,0.0,1.3119328493647913,0
11751,0.6946989113349985,9.083333333333334,0.6476538647766694,0.8095238095238095,6,4.7,0.116,0.0,0.638185609123016,1
13637,0.7031423134646502,105.25,0.8603548959239633,0.9,44,4.4,0.066,0.0245914908201373,0.405001099948669,1
20965,0.650414301970389,18.75,0.8026846855073502,0.951219512195122,6,3.6,0.092,0.0,0.6618650131170999,1
18175,0.6508281147607514,100.66666666666669,0.917550333788154,0.7631578947368421,7,4.1,0.017,0.0,0.5199042614652397,1
22165,0.5853135291231077,16.75,0.6441829443594284,0.2727272727272727,34,4.6,0.102,0.0,0.4323031806902774,0
26618,0.7492191682193323,93.08333333333331,0.8631606094182498,0.5,9,3.5,0.012,0.0,0.6839109608340378,1
28690,0.5993710974027435,18.08333333333333,0.7817496730651683,0.6904761904761905,1,4.3,0.0,0.1226997081049099,0.0046009062391077,1
22390,0.7921641538353622,9.166666666666666,0.6583946503989829,0.7209302325581395,32,3.7,0.046,0.0474792981164007,0.127467619472979,1
5788,0.6660304303509629,17.916666666666668,0.8184854297573223,0.7142857142857143,79,3.5,0.057,0.0,0.7012785072563925,1
15445,0.4393858460866182,96.5,0.8636015898332831,0.5813953488372093,44,3.9,0.147,0.0459355042798323,0.0,1
15949,0.66248132413533,17.25,0.6841377577144439,0.625,49,3.4,0.307,5.88175982253e-05,0.3923879988713672,1
20579,0.6473526375998475,9.666666666666666,0.6334432478367362,0.5952380952380952,41,4.4,0.058,0.0,0.4044414208659312,1
12374,0.903605290518014,10.416666666666666,0.7538130791451341,0.8260869565217391,1,3.7,0.264,0.0,0.5577824470664297,1
23100,0.604688338219814,19.25,0.8043309198270212,0.5121951219512195,12,3.7,0.2,0.0,0.2746812701573627,0
16914,0.9383453504714838,96.66666666666669,0.860611152197188,0.9230769230769232,3,4.4,0.105,0.0,0.6477665769947084,1
5828,0.8744345990723835,6.416666666666667,0.7498524638408023,0.6052631578947368,1,4.2,0.143,0.0811160303433828,0.0,1
24498,0.8860665008623589,11.0,0.8036139182300648,0.7631578947368421,32,4.0,0.218,0.0083434202187701,0.4740795166952404,1
9921,0.716225599486792,19.166666666666668,0.7840044808978397,0.7837837837837838,98,4.4,0.192,0.0,1.0292827982460562,1
26337,0.7288609111116253,7.166666666666667,0.8306951188539414,1.0,5,4.5,0.222,0.0157110600030531,0.0,1
30154,0.8234901598343854,6.333333333333333,0.7559574080132709,0.7567567567567568,33,4.4,0.168,0.0,0.90598262253764,1
13541,0.7465621077843174,16.333333333333332,0.6815410911361789,0.7441860465116279,29,3.5,0.088,0.0304357933753413,0.2263579631475942,1
10257,0.5188506711759863,18.83333333333333,0.6815388634434233,0.6888888888888889,8,3.7,0.0,0.0,0.2464658282148776,0
9301,0.8324146007236618,10.5,0.6829367562628861,0.5,19,4.9,0.211,0.074871421891121,0.0356950865498333,1
25418,0.6524395531373854,18.0,0.7996915958075561,0.8444444444444444,38,4.1,0.225,0.0,0.445393028562436,1
15832,0.873980158967766,12.0,0.6938137821521027,0.5853658536585366,37,3.2,0.065,0.0427831899556612,0.1937908599943151,1
27883,0.7223262456408829,102.66666666666669,0.9076528399134552,0.6052631578947368,1,3.9,0.076,0.0,0.7319513682171933,1
8050,0.8656052318456384,7.083333333333333,0.8136120056734722,0.7692307692307693,27,3.5,0.009,0.0,0.8251444189080067,1
11756,0.8141351584033371,99.41666666666669,0.878706500919865,0.7446808510638298,65,3.9,0.07,0.1159385456941959,0.0131853175109523,1
7792,0.8546148642331898,98.83333333333331,0.8514775165880554,0.6666666666666666,1,4.3,0.0,0.0,0.392582135523614,1
3466,0.670416137502977,96.41666666666669,0.8730119697386831,0.7560975609756098,17,3.9,0.0,0.0068109114449432,0.4328379743182802,1
13537,0.6774514936747985,101.0,0.8669799124500555,0.4772727272727273,7,4.6,0.09,0.0,0.5428286484689543,1
27234,0.7384179171959973,10.0,0.7385935476440313,0.3243243243243243,46,3.8,0.0,0.0034289874506855,0.2791782180035618,1
7191,0.7402761599659862,5.666666666666667,0.757464374963667,0.926829268292683,56,5.0,0.178,0.0,0.7863996662494785,1
23527,0.8201894033876691,6.833333333333333,0.7944841518737473,0.6388888888888888,1,4.4,0.118,0.0,0.5250988226293195,1
17641,0.7039359194998468,12.0,0.6995373937113343,0.8974358974358975,33,3.2,0.072,0.0937378425603877,0.1098577178164503,1
5720,0.6450752209424757,9.416666666666666,0.7812529717821544,0.6739130434782609,41,3.9,0.189,0.0,0.4199300699300699,1
13929,0.7392545600567813,6.583333333333333,0.7900870385851013,0.45,40,4.6,0.101,0.0,0.6756650034102739,1
14316,0.8491236550865551,94.66666666666669,0.8671270263090619,0.9555555555555556,2,4.2,0.155,0.0,0.4087876776920121,1
22883,0.6971186338939426,5.916666666666667,0.7468704118927968,0.926829268292683,14,3.5,0.171,0.0085601790952966,0.2327055019009745,1
25122,0.6383076942336898,14.833333333333334,0.6876081174279136,0.8409090909090909,59,4.3,0.105,0.0,0.8078576546453308,1
29884,0.6806695737927719,18.83333333333333,0.7823296659071001,0.5365853658536586,49,4.8,0.233,0.0,0.856980323919154,1
1734,0.6592410618871003,19.33333333333333,0.8131079018217344,0.3636363636363636,60,3.6,0.149,0.0,0.986159169550173,0
6971,0.7258363088005859,100.83333333333331,0.854254610838443,0.951219512195122,52,3.6,0.151,0.0,0.5391291872892906,1
1968,0.7260728656990825,18.166666666666668,0.7323678505355079,0.6923076923076923,79,3.5,0.126,0.0,1.0744599745870391,0
15066,0.7830293597652151,6.083333333333333,0.7936093263928854,0.7083333333333334,1,4.6,0.037,0.0,0.6754505326739902,1
13669,0.6229167748102126,16.083333333333332,0.6981003703221302,0.4761904761904761,21,3.8,0.239,0.0,0.3535006218450508,0
1767,0.5902992683998793,6.083333333333333,0.7448227943808609,0.7692307692307693,35,4.3,0.178,0.0205128888422446,0.2591963780418789,1
18345,0.8306960544768947,6.5,0.7372576726677026,0.8444444444444444,43,4.7,0.204,0.0,0.9893704006541292,1
21222,0.7582125946273409,6.166666666666667,0.7126987618179825,0.825,75,4.5,0.013,0.0,0.6656300065969277,1
9056,0.7883760711179161,6.166666666666667,0.7283817399697057,1.0,1,3.2,0.177,0.0991396509045419,0.0056316254416961,1
6415,0.8943554867454393,99.66666666666669,0.8804143198743738,0.4186046511627907,61,4.9,0.191,0.0,0.2648480124707716,1
14900,0.7631601137551755,95.5,0.8410525469589707,0.9375,40,4.1,0.103,0.0,0.8071411792342025,1
15580,0.801675021429934,92.83333333333331,0.8605291518175802,1.0,34,4.7,0.115,0.0,0.2766455919637985,1
16528,0.6853136426228071,16.916666666666668,0.7351329052459101,0.6097560975609756,60,4.4,0.03,0.0691972388457991,0.0,1
20030,0.8169778361884621,10.833333333333334,0.8047911147623151,0.5581395348837209,1,3.5,0.103,0.000392380385937,0.2129359195187099,1
3699,0.8704561122599137,94.08333333333331,0.8667175272865073,0.6190476190476191,26,3.9,0.134,0.0113896271649575,0.2535820492024871,1
6149,0.8124614347734118,6.416666666666667,0.7580787531143227,0.7727272727272727,40,4.4,0.037,0.0,0.603561844352281,1
10600,0.704578049043338,104.25,0.8993853081546566,0.6216216216216216,31,3.8,0.047,0.0,0.264635124298316,1
9908,0.6532875866272363,6.416666666666667,0.7665947953816697,0.4615384615384615,46,2.7,0.206,0.0,0.4368407771889982,0
25724,0.8064064151371351,5.5,0.7375680594592611,0.5609756097560976,12,4.3,0.033,0.0,1.2533820556678588,0
18714,0.9036142698996468,100.83333333333331,0.8753517345381628,0.717948717948718,46,4.1,0.029,0.0344229992116214,0.3183263419456542,1
4926,0.8733150834439856,6.25,0.8256440422583731,0.7837837837837838,66,3.8,0.057,0.0075982053098985,0.1313438895655704,1
33878,0.6772035602259516,19.33333333333333,0.8049360603623317,0.6153846153846154,29,4.1,0.12,0.0,0.7464836543428529,1
33074,0.6901105273967885,19.916666666666668,0.7713244615574945,1.0,1,3.2,0.008,0.0043241554878833,0.1050674245631009,1
15398,0.7428828899892564,9.416666666666666,0.6111226098633658,0.8888888888888888,10,3.3,0.197,0.095541792527377,0.1312508117937394,1
25362,0.7710986341653701,9.25,0.774414702242362,0.6818181818181818,1,3.4,0.17,0.0,0.7349183818310859,1
12102,0.8702509669911982,10.333333333333334,0.6905915146249859,0.9047619047619048,14,3.8,0.243,0.0031647023686447,0.3856387373987771,1
1801,0.7364997319109648,98.33333333333331,0.8769580243194472,0.6904761904761905,9,4.0,0.088,0.0090756472873177,0.1405165231880033,1
29100,0.9331848743451346,93.41666666666669,0.8336767312414536,0.825,26,4.5,0.078,0.0,0.6896219931271478,1
18218,0.678799005254012,100.66666666666669,0.8968183016497823,0.8709677419354839,34,4.0,0.204,0.0243557344914189,0.08771785371209,1
22687,0.7721556116027367,97.83333333333331,0.8895298614182386,0.6052631578947368,69,4.2,0.254,0.0035847562600937,0.4467855332466445,1
12135,0.8617352933340948,92.58333333333331,0.8877988070667336,0.8108108108108109,14,4.2,0.282,0.0,0.7931602801812938,1
11114,0.6082730888200294,20.58333333333333,0.8155782676286579,0.7837837837837838,10,4.2,0.239,0.0181886912855146,0.3820406694259493,0
20422,0.7317761729333689,10.583333333333334,0.6927115543135771,0.7142857142857143,39,4.7,0.137,0.0579651956976892,0.2254976372940283,1
26701,0.6176116290868795,11.416666666666666,0.7313114989882341,0.8974358974358975,32,4.2,0.21,0.0,0.4172206512986648,1
